Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999998
FDW14,OUT017,1435.9121343750005
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454552
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.2570116129025
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1435.9121343750005
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401707
DRL59,OUT013,713.8586545454552
FDM24,OUT049,2286.413267368423
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992815
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842525
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339811
FDX51,OUT018,2893.8398258992815
NCR06,OUT018,507.04640366972467
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.2997859999998
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.29577518248
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1461.8437959999999
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401707
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.04640366972467
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.9121343750005
FDW12,OUT035,2286.413267368423
FDL51,OUT017,3643.5197259842525
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.070625806451
FDN40,OUT045,2286.413267368423
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.413267368423
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.300306896552
DRC36,OUT045,3259.562084905661
FDV21,OUT019,281.48208181818177
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.477842708335
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.212238235294
FDU58,OUT013,2893.8398258992815
FDY27,OUT017,2552.005235185187
FDV56,OUT035,1682.212238235294
FDT59,OUT046,3945.432567213116
FDB23,OUT046,3945.432567213116
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711653
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999999
FDZ25,OUT017,3053.0998777777777
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3391.591252727273
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1879.2570116129025
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.0323883040934
FDX24,OUT013,1435.9121343750005
FDZ02,OUT035,1682.212238235294
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.9121343750005
FDC60,OUT049,1458.4550080536912
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.04640366972467
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1649.2997859999998
FDW60,OUT018,3259.562084905661
FDE21,OUT013,1922.1493817142857
NCM42,OUT035,1682.212238235294
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1202.6567333333335
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.04640366972467
FDR60,OUT049,1202.6567333333335
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2503.5013364485985
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.070625806451
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.9121343750005
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.413267368423
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1682.212238235294
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.218358415842
NCI06,OUT010,425.93559145299173
DRM11,OUT035,4433.30403265306
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2142.7435709401707
FDO49,OUT018,713.8586545454552
FDS35,OUT049,1103.186213333333
DRK39,OUT045,1435.9121343750005
DRI39,OUT049,796.6402682539683
FDV04,OUT017,2503.5013364485985
NCN14,OUT035,3384.108064242422
FDH08,OUT013,3643.5197259842525
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.186213333333
FDZ48,OUT010,281.48208181818177
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2552.005235185187
FDS48,OUT045,3053.0998777777777
FDK26,OUT010,482.69954262295073
FDD23,OUT045,3391.591252727273
NCH54,OUT017,2644.477842708335
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.67548155339811
FDV24,OUT017,2503.5013364485985
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1682.212238235294
FDF50,OUT018,2893.8398258992815
FDG28,OUT035,4340.218358415842
NCE19,OUT017,935.0323883040934
NCM53,OUT010,281.48208181818177
NCN18,OUT049,1879.2570116129025
FDF32,OUT035,3130.004904950494
FDF11,OUT013,3945.432567213116
DRI59,OUT049,4340.218358415842
NCG54,OUT035,2644.477842708335
FDM44,OUT046,1573.070625806451
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2503.5013364485985
FDI50,OUT019,584.7577647727275
FDS09,OUT035,713.8586545454552
NCC31,OUT027,4117.31771263158
FDQ07,OUT019,584.7577647727275
FDC22,OUT017,3391.591252727273
FDZ56,OUT046,2644.477842708335
FDZ40,OUT019,165.91858165137623
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.8328454545451
FDV45,OUT017,2939.348476190475
FDL26,OUT045,3053.0998777777777
FDA56,OUT018,1752.25244
FDN27,OUT046,1922.1493817142857
FDM20,OUT049,4340.218358415842
FDO16,OUT017,1435.9121343750005
FDL03,OUT035,3130.004904950494
FDE58,OUT046,1922.1493817142857
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339811
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1284.7897668711653
FDR45,OUT013,3945.432567213116
NCN07,OUT017,2243.669596721312
FDM51,OUT019,219.21852093023253
FDT52,OUT027,6280.890880000001
FDL26,OUT046,3053.0998777777777
NCZ42,OUT046,3945.432567213116
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2309.2007980000008
FDN34,OUT046,3053.0998777777777
FDS01,OUT035,2778.589317525773
NCG55,OUT045,1827.8328454545451
FDC11,OUT035,1284.7897668711653
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2644.477842708335
FDR09,OUT019,584.7577647727275
FDC53,OUT017,1573.070625806451
FDY45,OUT013,4433.30403265306
FDA22,OUT010,425.93559145299173
FDE02,OUT035,1573.070625806451
FDW21,OUT045,1461.8437959999999
FDV34,OUT046,1103.186213333333
FDS59,OUT049,1879.2570116129025
NCW17,OUT017,2243.669596721312
NCK54,OUT046,1922.1493817142857
FDG17,OUT019,584.7577647727275
FDG35,OUT017,3259.562084905661
FDD08,OUT010,92.67548155339811
NCO07,OUT017,3643.5197259842525
FDJ10,OUT010,281.48208181818177
FDW36,OUT017,1573.070625806451
FDW21,OUT010,219.21852093023253
FDY19,OUT017,1922.1493817142857
DRE03,OUT013,798.2176035398229
NCC55,OUT049,677.1027476190475
FDH52,OUT010,165.91858165137623
FDO09,OUT017,4034.300306896552
FDU43,OUT045,4340.218358415842
FDX09,OUT010,425.93559145299173
FDH40,OUT019,219.21852093023253
FDW58,OUT017,1573.070625806451
FDC47,OUT017,3737.29577518248
NCR41,OUT035,1461.8437959999999
DRG49,OUT035,3737.29577518248
FDC52,OUT027,4117.31771263158
FDY13,OUT046,1103.186213333333
FDY35,OUT013,507.04640366972467
FDI35,OUT017,3384.108064242422
NCU18,OUT049,2309.2007980000008
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.31771263158
FDU01,OUT049,2752.970934653465
NCU42,OUT046,2649.1102324324324
NCV29,OUT018,3259.562084905661
NCY30,OUT017,3384.108064242422
FDQ46,OUT049,1649.2997859999998
