Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1853.75
FDW14,OUT017,1580.0
NCN55,OUT010,1888.75
FDQ58,OUT017,2607.0
FDY38,OUT027,5187.75
FDH56,OUT046,1918.75
FDL48,OUT018,596.25
FDC48,OUT027,2787.75
FDN33,OUT045,1514.0
FDA36,OUT017,3079.0
FDT44,OUT017,1999.0
FDQ56,OUT045,1310.0
NCC54,OUT019,1851.25
FDU11,OUT049,2047.75
DRL59,OUT013,873.75
FDM24,OUT049,2559.75
FDI57,OUT045,3089.0
DRC12,OUT018,2757.75
NCM42,OUT027,3201.75
FDA46,OUT010,1140.25
FDA31,OUT013,2789.75
NCJ31,OUT035,3874.75
FDG52,OUT046,806.75
NCL19,OUT019,374.25
FDS10,OUT035,3023.25
FDX22,OUT010,1452.25
NCF19,OUT035,912.75
NCE06,OUT046,2529.75
DRC27,OUT046,3841.75
FDE21,OUT035,2022.25
NCR42,OUT019,-1354.75
FDX51,OUT018,2859.25
NCR06,OUT018,425.75
FDU31,OUT027,4947.75
FDU59,OUT017,2713.0
FDR03,OUT027,4773.75
FDS49,OUT027,2771.75
FDD48,OUT010,-68.75
NCF18,OUT017,3110.5
NCD43,OUT027,3107.75
NCD54,OUT018,1985.75
FDY19,OUT010,-31.75
NCY54,OUT017,2812.5
NCL19,OUT018,2017.75
FDP23,OUT010,1536.25
FDC26,OUT013,1805.75
FDR14,OUT010,-1028.75
NCS41,OUT035,3029.75
FDF41,OUT035,4039.25
FDU34,OUT046,2004.75
DRH11,OUT046,921.75
FDM03,OUT013,1749.75
FDS31,OUT017,3047.0
FDJ20,OUT017,2095.0
FDV44,OUT027,4501.75
FDG02,OUT049,3101.75
FDA09,OUT013,2901.75
FDT04,OUT013,681.75
FDL58,OUT019,2294.75
FDE52,OUT045,1456.0
FDW12,OUT035,2500.25
FDL51,OUT017,3549.0
NCY42,OUT027,3695.75
FDR07,OUT017,1662.0
FDN40,OUT045,2375.0
FDB35,OUT027,2959.75
FDA22,OUT017,2743.0
NCL06,OUT046,4109.75
FDI35,OUT013,2905.75
NCW42,OUT045,3410.5
NCX06,OUT049,2933.75
FDC37,OUT027,3203.75
FDZ14,OUT018,1725.25
DRG49,OUT049,3944.75
NCG06,OUT045,3957.5
DRC36,OUT045,2720.5
FDV21,OUT019,68.75
FDB53,OUT046,2362.75
DRP47,OUT019,2043.25
FDA14,OUT013,2341.75
DRC24,OUT035,2561.75
FDW21,OUT018,1409.25
NCH29,OUT046,1556.75
FDU58,OUT013,3065.75
FDY27,OUT017,2945.0
FDV56,OUT035,1945.25
FDT59,OUT046,3656.75
FDB23,OUT046,3620.75
FDR49,OUT045,703.0
FDB03,OUT010,1916.25
FDN39,OUT045,2618.0
FDX02,OUT027,4991.75
FDQ16,OUT027,3199.75
FDU35,OUT018,1339.25
NCT29,OUT013,1941.75
FDZ27,OUT046,830.75
FDN57,OUT017,2347.0
FDA03,OUT018,2095.25
FDZ36,OUT045,2922.0
NCU05,OUT013,1309.75
FDT39,OUT018,2177.25
FDK60,OUT017,1724.0
FDZ25,OUT017,2856.0
FDG12,OUT046,2034.75
DRB01,OUT019,1125.25
NCC43,OUT027,5385.75
FDX13,OUT019,2035.75
FDM22,OUT049,1029.75
FDJ03,OUT027,2317.75
FDU14,OUT018,3673.25
FDB33,OUT010,628.25
FDP27,OUT046,3008.75
FDO38,OUT010,-663.75
FDE28,OUT027,5159.75
FDO27,OUT035,1701.25
DRL23,OUT027,3174.75
FDS28,OUT046,966.75
FDX24,OUT013,1533.75
FDZ02,OUT035,1744.25
FDL46,OUT045,1814.0
FDS60,OUT027,4303.75
NCO06,OUT017,638.5
FDO16,OUT035,1525.25
FDC60,OUT049,1541.75
FDA48,OUT018,3196.25
FDZ36,OUT027,4459.75
FDK27,OUT045,1879.0
FDW23,OUT018,378.25
FDM14,OUT018,1506.25
FDM14,OUT013,1773.75
FDW60,OUT018,2599.25
FDE21,OUT013,1897.75
NCM42,OUT035,1877.75
FDY59,OUT010,-368.75
DRI49,OUT049,1382.75
FDT28,OUT019,512.75
FDQ22,OUT018,407.25
FDR60,OUT049,1337.75
FDC50,OUT019,-387.25
FDV24,OUT013,2445.75
DRF48,OUT010,1031.75
FDQ47,OUT046,644.75
DRN36,OUT049,1661.75
NCY06,OUT035,2169.75
FDE52,OUT035,1655.25
NCB54,OUT045,1937.5
NCF31,OUT035,2543.75
FDJ08,OUT027,4459.75
NCC07,OUT017,1786.5
NCD19,OUT027,2363.75
FDL46,OUT049,2013.75
FDM20,OUT045,3833.0
NCI06,OUT010,921.75
DRM11,OUT035,4212.75
NCH07,OUT018,2202.75
FDS23,OUT013,2073.75
FDO49,OUT018,597.25
FDS35,OUT049,1167.75
DRK39,OUT045,1274.5
DRI39,OUT049,1037.75
FDV04,OUT017,2642.0
NCN14,OUT035,3004.75
FDH08,OUT013,3677.75
FDS20,OUT046,2912.75
FDV40,OUT049,1355.75
FDZ48,OUT010,-133.75
FDS24,OUT027,2919.75
FDK44,OUT049,2863.75
FDS48,OUT045,2344.0
FDK26,OUT010,1108.25
FDD23,OUT045,2972.0
NCH54,OUT017,2636.5
NCP14,OUT010,-242.25
FDM60,OUT010,-1178.75
FDV24,OUT017,2523.0
FDH08,OUT018,3341.25
FDS12,OUT027,3475.75
FDR39,OUT027,4327.75
FDP12,OUT027,2135.75
DRF60,OUT027,5192.75
FDC09,OUT035,1845.25
FDF50,OUT018,2882.25
FDG28,OUT035,4048.25
NCE19,OUT017,985.5
NCM53,OUT010,-196.25
NCN18,OUT049,1850.75
FDF32,OUT035,3311.25
