Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560238
FDW14,OUT017,1591.7612740786317
NCN55,OUT010,1822.6726586170041
FDQ58,OUT017,2546.362959157392
FDY38,OUT027,5087.605400109228
FDH56,OUT046,1942.6371302122502
FDL48,OUT018,680.8000272442428
FDC48,OUT027,2806.0427441358866
FDN33,OUT045,1541.2477558067703
FDA36,OUT017,3051.6757355410996
FDT44,OUT017,2004.9816551032466
FDQ56,OUT045,1358.153340629098
NCC54,OUT019,1819.7081624356517
FDU11,OUT049,2076.7501933506546
DRL59,OUT013,963.736580042981
FDM24,OUT049,2541.5716064996295
FDI57,OUT045,3047.575103091968
DRC12,OUT018,2726.590331793128
NCM42,OUT027,3196.322082094337
FDA46,OUT010,1129.0865932092945
FDA31,OUT013,2782.853101628465
NCJ31,OUT035,3802.670858884
FDG52,OUT046,863.6967323629356
NCL19,OUT019,383.6749739722942
FDS10,OUT035,2986.4040703131777
FDX22,OUT010,1453.2700642602779
NCF19,OUT035,998.5313152811394
NCE06,OUT046,2519.829608866122
DRC27,OUT046,3768.666066789689
FDE21,OUT035,2044.9750562281504
NCR42,OUT019,-1251.1341145471426
FDX51,OUT018,2840.7076836527995
NCR06,OUT018,510.7134768810497
FDU31,OUT027,4872.661618212022
FDU59,OUT017,2684.937811854627
FDR03,OUT027,4667.855182836749
FDS49,OUT027,2769.552144702105
FDD48,OUT010,-11.742853337760721
NCF18,OUT017,3083.509221364915
NCD43,OUT027,3104.414085400248
NCD54,OUT018,2007.8274969877766
FDY19,OUT010,23.56811324654643
NCY54,OUT017,2783.2415589678135
NCL19,OUT018,2023.5214175263482
FDP23,OUT010,1509.3653428274213
FDC26,OUT013,1848.579492075245
FDR14,OUT010,-931.0749455928519
NCS41,OUT035,2986.6196676007457
FDF41,OUT035,3971.3364664503233
FDU34,OUT046,2004.5683173135974
DRH11,OUT046,984.1695289641889
FDM03,OUT013,1734.3034064058727
FDS31,OUT017,2964.8933269092468
FDJ20,OUT017,2116.7529678965684
FDV44,OUT027,4427.784808962077
FDG02,OUT049,3080.3282714018856
FDA09,OUT013,2877.9901004558055
FDT04,OUT013,743.8136889644107
FDL58,OUT019,2224.4305199227974
FDE52,OUT045,1472.2979119940512
FDW12,OUT035,2500.3276177547996
FDL51,OUT017,3499.171631751453
NCY42,OUT027,3669.3541994592997
FDR07,OUT017,1704.3865411049371
FDN40,OUT045,2341.925789890119
FDB35,OUT027,2975.938723178915
FDA22,OUT017,2708.4019276470294
NCL06,OUT046,4020.0931885843834
FDI35,OUT013,2889.386905085809
NCW42,OUT045,3358.986753706945
NCX06,OUT049,2926.3408466167202
FDC37,OUT027,3208.3154817412383
FDZ14,OUT018,1759.3628553683432
DRG49,OUT049,3880.4720445096364
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.4303484146412
FDV21,OUT019,89.20329367236593
FDB53,OUT046,2335.283600362809
DRP47,OUT019,1969.3600466199557
FDA14,OUT013,2346.312311893471
DRC24,OUT035,2559.436840774869
FDW21,OUT018,1431.1415252561826
NCH29,OUT046,1574.190141985873
FDU58,OUT013,3038.8499545102063
FDY27,OUT017,2888.586673528193
FDV56,OUT035,1978.6353753250964
FDT59,OUT046,3588.219044516927
FDB23,OUT046,3557.519898156398
FDR49,OUT045,760.3217983798713
FDB03,OUT010,1879.1002918477936
FDN39,OUT045,2601.0081164778526
FDX02,OUT027,4893.539499114104
FDQ16,OUT027,3196.5764802810177
FDU35,OUT018,1349.332572646088
NCT29,OUT013,1985.4074128544587
FDZ27,OUT046,871.1855531616659
FDN57,OUT017,2352.025935043549
FDA03,OUT018,2095.943456367067
FDZ36,OUT045,2892.9101455455657
NCU05,OUT013,1378.5344023376738
FDT39,OUT018,2199.463258352251
FDK60,OUT017,1722.709942973235
FDZ25,OUT017,2809.5987327632392
FDG12,OUT046,1996.264166796802
DRB01,OUT019,1083.3357803119584
NCC43,OUT027,5257.561572088321
FDX13,OUT019,1979.8573545982847
FDM22,OUT049,1099.9470861104892
FDJ03,OUT027,2354.4228412884268
FDU14,OUT018,3604.680000547863
FDB33,OUT010,672.576940136277
FDP27,OUT046,2975.193406761579
FDO38,OUT010,-582.792349641434
FDE28,OUT027,5039.563589210013
FDO27,OUT035,1728.2847298513586
DRL23,OUT027,3168.950989414746
FDS28,OUT046,1027.068348708507
FDX24,OUT013,1576.8218839850063
FDZ02,OUT035,1784.0734724042359
FDL46,OUT045,1839.2554744810386
FDS60,OUT027,4250.409336238303
NCO06,OUT017,717.6465905641762
FDO16,OUT035,1575.6042405473022
FDC60,OUT049,1593.720043722142
FDA48,OUT018,3143.3858700772084
FDZ36,OUT027,4385.028482398675
FDK27,OUT045,1908.4289842610215
FDW23,OUT018,471.6325537035457
FDM14,OUT018,1541.1823508090115
FDM14,OUT013,1815.3528147796876
FDW60,OUT018,2582.11625224747
FDE21,OUT013,1937.8367449367745
NCM42,OUT035,1909.6295631404073
FDY59,OUT010,-325.2766424478085
DRI49,OUT049,1411.6164616201538
FDT28,OUT019,537.2071923218502
FDQ22,OUT018,492.4516104473238
FDR60,OUT049,1379.3844046079034
FDC50,OUT019,-340.25310825444365
FDV24,OUT013,2420.1696343514545
DRF48,OUT010,1114.8936484944375
FDQ47,OUT046,720.7024107545556
DRN36,OUT049,1683.4037250766817
NCY06,OUT035,2186.54569668034
FDE52,OUT035,1667.710034861251
NCB54,OUT045,1960.2734232898463
NCF31,OUT035,2544.246719333176
FDJ08,OUT027,4390.762654347919
NCC07,OUT017,1827.1444492907715
NCD19,OUT027,2337.0849311303928
FDL46,OUT049,2028.7564046335763
FDM20,OUT045,3747.4870288986026
NCI06,OUT010,943.0398761002496
DRM11,OUT035,4122.364533017649
NCH07,OUT018,2216.5615376056508
FDS23,OUT013,2100.7278006301904
FDO49,OUT018,669.611070012115
FDS35,OUT049,1217.2217140612688
DRK39,OUT045,1285.9726813735888
DRI39,OUT049,1099.9780065826944
FDV04,OUT017,2624.8631109665685
NCN14,OUT035,2975.483390659307
FDH08,OUT013,3643.5167154159813
FDS20,OUT046,2869.6655231483446
FDV40,OUT049,1379.978454213613
FDZ48,OUT010,-86.89226142344012
FDS24,OUT027,2932.014853212055
FDK44,OUT049,2828.49794322172
FDS48,OUT045,2339.1628031702307
FDK26,OUT010,1102.7134493698911
FDD23,OUT045,2937.0715590527193
NCH54,OUT017,2634.218337339128
NCP14,OUT010,-188.76888283441178
FDM60,OUT010,-1102.8992058263473
FDV24,OUT017,2476.404942163207
FDH08,OUT018,3307.1939714733826
FDS12,OUT027,3456.9008641950727
FDR39,OUT027,4257.419862283461
FDP12,OUT027,2172.1116928418455
DRF60,OUT027,5054.840035189797
FDC09,OUT035,1883.5086627079043
FDF50,OUT018,2792.6310969882356
FDG28,OUT035,3949.811552313778
NCE19,OUT017,1057.1553589040102
NCM53,OUT010,-135.38119785417814
NCN18,OUT049,1869.1723657928897
FDF32,OUT035,3238.100114202479
FDF11,OUT013,3794.3675501120724
DRI59,OUT049,3568.414316636821
NCG54,OUT035,2780.9423983464094
FDM44,OUT046,1678.203434473681
FDT57,OUT018,3413.2142606190414
FDV24,OUT046,2369.635711729044
FDI50,OUT019,1710.7204506835276
FDS09,OUT035,1104.35274976031
NCC31,OUT027,3861.486834988572
FDQ07,OUT019,1570.3560600779126
FDC22,OUT017,3127.281606461262
FDZ56,OUT046,2686.513497782122
FDZ40,OUT019,-886.7626110244137
FDS46,OUT027,3392.078903943197
DRD24,OUT045,2178.0225931934383
FDV45,OUT017,3076.1107171873264
FDL26,OUT045,2402.330000139258
FDA56,OUT018,1738.911094674991
FDN27,OUT046,1901.2545117692002
FDM20,OUT049,3893.60927145905
FDO16,OUT017,1507.217389871199
FDL03,OUT035,3249.545728230855
FDE58,OUT046,1865.6219302935776
FDI02,OUT027,3275.79562752531
NCC55,OUT019,-1192.3770005445758
FDR03,OUT018,2987.901152054704
FDB14,OUT017,1662.1679460339794
FDR45,OUT013,3772.5792602048555
NCN07,OUT017,2178.643760182834
FDM51,OUT019,-145.53768410605755
FDT52,OUT027,5264.676501721282
FDL26,OUT046,2437.1437828470102
NCZ42,OUT046,3677.868967036171
DRI47,OUT019,456.85218419769717
FDW40,OUT013,2322.447274960208
