Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.43231291866
FDW14,OUT017,1364.0491539906104
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.430959859155
FDL48,OUT018,754.5960957264961
FDC48,OUT027,2513.0798546666665
FDN33,OUT045,1554.0070756410257
FDA36,OUT017,3087.5075112820496
FDT44,OUT017,1874.430959859155
FDQ56,OUT045,1364.0491539906104
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2054.215706620208
DRL59,OUT013,754.5960957264961
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755187
NCJ31,OUT035,3593.1412351254467
FDG52,OUT046,754.5960957264961
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264961
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1874.430959859155
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.5075112820496
NCR06,OUT018,637.5735090128758
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.0798546666665
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.0798546666665
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2346.6487869387743
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1722.331611173186
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3593.1412351254467
FDU34,OUT046,2054.215706620208
DRH11,OUT046,876.3205797979803
FDM03,OUT013,1722.331611173186
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,2054.215706620208
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3087.5075112820496
FDA09,OUT013,2736.9684298755187
FDT04,OUT013,637.5735090128758
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1364.0491539906104
FDW12,OUT035,2384.015126168224
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1554.0070756410257
FDN40,OUT045,2384.015126168224
FDB35,OUT027,2513.0798546666665
FDA22,OUT017,2384.015126168224
NCL06,OUT046,4333.891515923569
FDI35,OUT013,3389.2269793548357
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2736.9684298755187
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254467
NCG06,OUT045,4105.140110975608
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2539.3942358778595
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2346.6487869387743
DRC24,OUT035,2539.3942358778595
FDW21,OUT018,1509.43231291866
NCH29,OUT046,1554.0070756410257
FDU58,OUT013,3087.5075112820496
FDY27,OUT017,2736.9684298755187
FDV56,OUT035,1722.331611173186
FDT59,OUT046,4109.900606217617
FDB23,OUT046,3753.0000993630583
FDR49,OUT045,754.5960957264961
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2811.1814032128527
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1509.43231291866
NCT29,OUT013,1936.508247826087
FDZ27,OUT046,754.5960957264961
FDN57,OUT017,2054.215706620208
FDA03,OUT018,2346.6487869387743
FDZ36,OUT045,3389.2269793548357
NCU05,OUT013,1248.223345555555
FDT39,OUT018,2346.6487869387743
FDK60,OUT017,1554.0070756410257
