,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Category,Outlet_Age
0,9.3,Low Fat,0.016047301,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,8.225807736568045,FD,14
1,5.92,Regular,0.019278216,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,6.096776361579924,DR,4
2,17.5,Low Fat,0.016760075,Meat,141.618,Medium,Tier 1,Supermarket Type1,7.648868474670161,FD,14
3,19.2,Regular,0.053930934,Fruits and Vegetables,182.095,Medium,Tier 3,Grocery Store,6.597663985017227,FD,15
4,8.93,Low Fat,0.053930934,Household,53.8614,High,Tier 3,Supermarket Type1,6.903451229836965,NC,26
5,10.395,Regular,0.053930934,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,6.3236576412443055,FD,4
6,13.65,Regular,0.012741089,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,5.842247344312063,FD,26
7,12.91,Low Fat,0.127469857,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,8.299972962538963,FD,28
8,16.2,Regular,0.016687114,Frozen Foods,96.9726,Small,Tier 2,Supermarket Type1,6.9824903259119395,FD,11
9,19.2,Regular,0.09444959,Frozen Foods,187.8214,Small,Tier 2,Supermarket Type1,8.457769036251289,FD,6
10,11.8,Low Fat,0.053930934,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,7.3245075138025815,FD,14
11,18.5,Regular,0.045463773,Dairy,144.1102,Small,Tier 1,Supermarket Type1,7.690813087970959,FD,16
12,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,7.371655696463161,FD,14
13,17.6,Regular,0.047257328,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,7.671457656629242,FD,16
14,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,7.590056858053727,FD,26
15,9.0,Regular,0.069088961,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,7.344925234443442,FD,16
